번호,교과과정,학수강좌번호,교과목명,학점,이론,실습,강의요일/교시,강의실,담당교원,수업캠퍼스,비고
43,전공,CSE2017-02,자료구조와실습,3.0,2.0,2.0,화5.0-6.5/목2.0-3.5,401-6144(신공학관(기숙사) 6144 강의실)/401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),김준태,서울,수강인원 50명 제한
44,전공,CSE2017-03,자료구조와실습,3.0,2.0,2.0,수7.0-8.5/금5.0-6.5,401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)/401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),김시명,서울,영어강의
45,전공,EME2004-01,재료열역학1,3.0,3.0,0.0,화2.5-3.5/목2.5-3.5,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),최창순,서울,영어강의/수강제한 45명
46,전공,EME2013-01,신소재공학개론1,3.0,3.0,0.0,월1.0-2.0/수1.0-2.0,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),남경완,서울,영어강의/수강제한 45명
47,전공,EME2015-01,나노과학개론,3.0,3.0,0.0,월2.5-3.5/수2.5-3.5,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),이재준,서울,영어강의/수강제한 45명
48,전공,EME2018-01,유기재료1,3.0,3.0,,화4.0-5.0/목4.0-5.0,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),이세연,서울,영어강의/수강제한 45명
49,전공,ENE2002-01,회로이론1,3.0,3.0,0.0,화5.0-6.0/목5.0-6.0,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),전병훈,서울,수강제한 60명
50,전공,ENE2002-02,회로이론1,3.0,3.0,0.0,목2.5-3.5/금2.5-3.5,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),김성준,서울,영어강의/수강제한 60명
51,전공,ENE2002-03,회로이론1,3.0,3.0,0.0,목5.0-7.5,401-3107(신공학관(기숙사) 3107 강의실),송병두,서울,수강제한 60명
52,전공,ENE2002-04,회로이론1,3.0,3.0,0.0,목9.0-11.5,401-3107(신공학관(기숙사) 3107 강의실),송병두,서울,수강제한 60명
